,type,topic,subject,data
20,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.75', 'bestAskSize': '13.4669414', 'bestBid': '3092.74', 'bestBidSize': '25.1390751', 'price': '3092.62', 'sequence': '1626466732940', 'size': '0.0399829', 'time': 1650558724346}"
21,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.90447421', 'bestBid': '41918.1', 'bestBidSize': '5.2020457', 'price': '41916.5', 'sequence': '1628076254213', 'size': '0.00063055', 'time': 1650558724376}"
22,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.75', 'bestAskSize': '2.0669414', 'bestBid': '3092.74', 'bestBidSize': '25.0558286', 'price': '3092.62', 'sequence': '1626466732964', 'size': '0.0399829', 'time': 1650558724446}"
23,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.90447421', 'bestBid': '41918.1', 'bestBidSize': '5.2020457', 'price': '41916.5', 'sequence': '1628076254252', 'size': '0.00063055', 'time': 1650558724475}"
24,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3093.05', 'bestAskSize': '0.002', 'bestBid': '3092.74', 'bestBidSize': '12.6169545', 'price': '3092.62', 'sequence': '1626466733003', 'size': '0.0399829', 'time': 1650558724546}"
25,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.90447421', 'bestBid': '41918.1', 'bestBidSize': '5.2020457', 'price': '41916.5', 'sequence': '1628076254287', 'size': '0.00063055', 'time': 1650558724577}"
26,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3093.05', 'bestAskSize': '32.2167', 'bestBid': '3093.04', 'bestBidSize': '6.36274', 'price': '3092.62', 'sequence': '1626466733205', 'size': '0.0399829', 'time': 1650558724646}"
27,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.90447421', 'bestBid': '41918.1', 'bestBidSize': '5.2020457', 'price': '41916.5', 'sequence': '1628076254307', 'size': '0.00063055', 'time': 1650558724676}"
28,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3093.05', 'bestAskSize': '32.8910609', 'bestBid': '3093.04', 'bestBidSize': '6.34274', 'price': '3092.62', 'sequence': '1626466733253', 'size': '0.0399829', 'time': 1650558724746}"
29,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.90447421', 'bestBid': '41918.1', 'bestBidSize': '5.2020457', 'price': '41916.5', 'sequence': '1628076254345', 'size': '0.00063055', 'time': 1650558724776}"
30,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3093.05', 'bestAskSize': '32.8910609', 'bestBid': '3093.04', 'bestBidSize': '6.35274', 'price': '3092.62', 'sequence': '1626466733270', 'size': '0.0399829', 'time': 1650558724847}"
31,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41918.2', 'bestAskSize': '1.90447421', 'bestBid': '41918.1', 'bestBidSize': '5.2020457', 'price': '41916.5', 'sequence': '1628076254417', 'size': '0.00063055', 'time': 1650558724876}"
